,road,neighbourhood,postcode,mayoralty
0,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc
1,Avenida Insurgentes Sur,Roma Norte,06700,Cuauhtémoc
2,Calle Tepeji,Roma Sur,06760,Cuauhtémoc
3,Calle Linares,Roma Sur,06760,Cuauhtémoc
4,Calle Frontera,Juárez,06700,Cuauhtémoc
5,Chilpancingo,Roma Sur,06760,Cuauhtémoc
6,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc
7,Calle Tapachula,Centro Urbano Benito Juárez,06700,NA
8,Calle Colima,Roma Norte,06700,Cuauhtémoc
9,Avenida Cuauhtémoc,Doctores,06720,Cuauhtémoc
10,Calle Monclova,Roma Sur,06760,Cuauhtémoc
11,Calle Monclova,Roma Sur,06760,Cuauhtémoc
12,Calle Monclova,Roma Sur,06760,Cuauhtémoc
13,Calle Monclova,Roma Sur,06760,Cuauhtémoc
14,Calle Monclova,Roma Sur,06760,Cuauhtémoc
15,Calle Monclova,Roma Sur,06760,Cuauhtémoc
16,Calle Monclova,Roma Sur,06760,Cuauhtémoc
17,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
18,Calle Monclova,Roma Sur,06760,Cuauhtémoc
19,Calle Monclova,Roma Sur,06760,Cuauhtémoc
20,Calle Colima,Roma Norte,06700,Cuauhtémoc
21,Calle Monclova,Roma Sur,06760,Cuauhtémoc
22,Calle Monclova,Roma Sur,06760,Cuauhtémoc
23,Calle Monclova,Roma Sur,06760,Cuauhtémoc
24,Viaducto Presidente Miguel Alemán,Piedad Narvarte,03103,Benito Juárez
25,Avenida Cuauhtémoc,Centro Urbano Benito Juárez,NA,NA
26,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
27,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
28,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
29,Calle Chilpancingo,Hipódromo,06100,Cuauhtémoc
30,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
31,Calle Chihuahua,Roma Norte,06700,Cuauhtémoc
32,Calle Colima,Roma Norte,06700,Cuauhtémoc
33,Calle Colima,Roma Norte,06700,Cuauhtémoc
34,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
35,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
36,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
37,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
38,Calle Colima,Roma Norte,06700,Cuauhtémoc
39,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
40,Calle Colima,Roma Norte,06700,Cuauhtémoc
41,Calle Colima,Roma Norte,06700,Cuauhtémoc
42,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
43,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
44,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
45,Río Tíber,Cuauhtémoc,06500,Cuauhtémoc
46,Calle Colima,Roma Norte,06700,Cuauhtémoc
47,Calle Colima,Roma Norte,06700,Cuauhtémoc
48,Calle Colima,Roma Norte,06700,Cuauhtémoc
49,Calle Colima,Roma Norte,06700,Cuauhtémoc
50,Calle Colima,Roma Norte,06700,Cuauhtémoc
51,Calle Frontera,Juárez,06700,Cuauhtémoc
52,Calle Colima,Roma Norte,06700,Cuauhtémoc
53,Calle Alejandría,Roma,64700,NA
54,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
55,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
56,Calle Colima,Roma Norte,06700,Cuauhtémoc
57,Calle Colima,Roma Norte,06700,Cuauhtémoc
58,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
59,Calle Colima,Roma Norte,06700,Cuauhtémoc
60,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
61,Calle Colima,Roma Norte,06700,Cuauhtémoc
62,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
63,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
64,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
65,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
66,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
67,Transbordo Intermodal MB Álvaro Obregón,Roma Norte,06700,Cuauhtémoc
68,Transbordo Intermodal MB Álvaro Obregón,Roma Norte,06700,Cuauhtémoc
69,Calle Colima,Roma Norte,06700,Cuauhtémoc
70,Calle Colima,Roma Norte,06700,Cuauhtémoc
71,Calle Colima,Roma Norte,06700,Cuauhtémoc
72,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
73,Calle Colima,Roma Norte,06700,Cuauhtémoc
74,Calle Colima,Roma Norte,06700,Cuauhtémoc
75,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
76,Calle Colima,Roma Norte,06700,Cuauhtémoc
77,Avenida Chapultepec,Zona Rosa,06700,NA
78,Avenida Chapultepec,Zona Rosa,06700,NA
79,Calle Colima,Roma Norte,06700,Cuauhtémoc
80,Calle Colima,Roma Norte,06700,Cuauhtémoc
81,Calle Colima,Roma Norte,06700,Cuauhtémoc
82,Calle Colima,Roma Norte,06700,Cuauhtémoc
83,Calle Colima,Roma Norte,06700,Cuauhtémoc
84,Calle Colima,Roma Norte,06700,Cuauhtémoc
85,Calle Colima,Roma Norte,06700,Cuauhtémoc
86,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
87,Calle Colima,Roma Norte,06700,Cuauhtémoc
88,Calle Colima,Roma Norte,06700,Cuauhtémoc
89,Calle Colima,Roma Norte,06700,Cuauhtémoc
90,Calle Colima,Roma Norte,06700,Cuauhtémoc
91,Calle Colima,Roma Norte,06700,Cuauhtémoc
92,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
93,Calle Colima,Roma Norte,06700,Cuauhtémoc
94,Calle Colima,Roma Norte,06700,Cuauhtémoc
95,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
96,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
97,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
98,Calle Colima,Roma Norte,06700,Cuauhtémoc
99,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
100,Calle Colima,Roma Norte,06700,Cuauhtémoc
101,Calle Colima,Roma Norte,06700,Cuauhtémoc
102,Calle Colima,Roma Norte,06700,Cuauhtémoc
103,Calle Colima,Roma Norte,06700,Cuauhtémoc
104,Calle Colima,Roma Norte,06700,Cuauhtémoc
105,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
106,Calle Andalucía,Álamos,03400,Benito Juárez
107,Calle Colima,Roma Norte,06700,Cuauhtémoc
108,Calle Colima,Roma Norte,06700,Cuauhtémoc
109,Calle Colima,Roma Norte,06700,Cuauhtémoc
110,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
111,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
112,Calle Bajío,Roma Sur,06100,Cuauhtémoc
113,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
114,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
115,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
116,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
117,Avenida Insurgentes Sur,Hipódromo,06760,Cuauhtémoc
118,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
119,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
120,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
121,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
122,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
123,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
124,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
125,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
126,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
127,Calle Colima,Roma Norte,06700,Cuauhtémoc
128,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
129,Calle Colima,Roma Norte,06700,Cuauhtémoc
130,Calle Colima,Roma Norte,06700,Cuauhtémoc
131,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
132,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
133,Calle Colima,Roma Norte,06700,Cuauhtémoc
134,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
135,Calle Tonalá,Roma Norte,NA,Cuauhtémoc
136,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
137,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
138,Avenida Insurgentes Sur,Roma Norte,06700,Cuauhtémoc
139,Ciclovía Chapultepec,Juárez,06700,Cuauhtémoc
140,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
141,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
142,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
143,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
144,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
145,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
146,Avenida Paseo de la Reforma Norte,Tabacalera,06040,Cuauhtémoc
147,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
148,Calle Bajío,Roma Sur,06760,Cuauhtémoc
149,Calle Michoacán,Hipódromo,06100,Cuauhtémoc
150,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
151,Calle de la Constitución,Escandón,11800,Miguel Hidalgo
152,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
153,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
154,Avenida Chapultepec,Miguel Hidalgo,11580,NA
155,Avenida Baja California,Roma Sur,06760,Cuauhtémoc
156,Privada de la Constitución,Escandón,11800,Miguel Hidalgo
157,Calle Nayarit,Centro Urbano Benito Juárez,06760,NA
158,Calle Francisco Zarco,Guerrero,06300,Cuauhtémoc
159,18 de Julio,Escandón,11800,Miguel Hidalgo
160,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
161,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
162,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
163,Calle Bajío,Roma Sur,06760,Cuauhtémoc
164,Calle Río Danubio,Cuauhtémoc,06500,Cuauhtémoc
165,Calle Colima,Roma Norte,06700,Cuauhtémoc
166,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc
167,Calle Chiapas,Centro Urbano Benito Juárez,06700,NA
168,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc
169,Calle Atztecas,Tepito,06200,Cuauhtémoc
170,Calle Colima,Condesa,NA,Cuauhtémoc
171,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc
172,Calle Tepeji,Roma Sur,06760,Cuauhtémoc
173,Calle Popocatépetl,Roma Norte,NA,Cuauhtémoc
174,Calle Tlacotalpan,Roma Sur,06760,Cuauhtémoc
175,Calle Frontera,Juárez,NA,Cuauhtémoc
176,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
177,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
178,Calle Córdoba,Centro Urbano Benito Juárez,06700,NA
179,Calle Salina Cruz,Roma Sur,06760,Cuauhtémoc
180,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc
181,Avenida Mosqueta,Guerrero,06300,Cuauhtémoc
182,Calle Salina Cruz,Roma Sur,06760,Cuauhtémoc
183,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
184,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
185,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
186,Calle Durango,Roma Norte,06700,Cuauhtémoc
187,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
188,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
189,Calle 2 de Abril,Roma,64700,NA
190,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
191,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
192,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
193,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
194,Metrobús Linea 2,Roma Sur,06760,Cuauhtémoc
195,Calle Frontera,Juárez,NA,Cuauhtémoc
196,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
197,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
198,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
199,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
200,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
201,Ciclovía Monterrey,Roma Norte,NA,Cuauhtémoc
202,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
203,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
204,Avenida Álvaro Obregón,Roma Norte,06700,Cuauhtémoc
205,Calle Tabasco,Roma Norte,06700,Cuauhtémoc
206,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
207,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
208,Avenida Chapultepec,Zona Rosa,06700,NA
209,18 de Julio,Miguel Hidalgo,11800,NA
210,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
211,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,NA
212,Calle Tonalá,Roma Norte,06700,Cuauhtémoc
213,Glorieta de Insurgentes,Zona Rosa,06600,NA
214,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
215,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
216,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
217,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
218,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
219,Ciclovía Chapultepec,Juárez,06700,Cuauhtémoc
220,Calle San Luis Potosí,Roma Norte,06700,Cuauhtémoc
221,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
222,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
223,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
224,Calle Hermosillo,Roma Sur,06760,Cuauhtémoc
225,18 de Julio,Miguel Hidalgo,11800,NA
226,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
227,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
228,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
229,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
230,Calle Tehuantepec,Roma Sur,06760,Cuauhtémoc
231,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
232,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
233,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
234,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc
235,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc
236,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc
237,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
238,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
239,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
240,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
241,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
242,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
243,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
244,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
245,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
246,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
247,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
248,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
249,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
250,Calle Coahuila,Centro Urbano Benito Juárez,06700,NA
