,road,neighbourhood,postcode,mayoralty,city,state,country
0,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
1,Avenida Insurgentes Sur,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
2,Calle Tepeji,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
3,Calle Linares,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
4,Calle Frontera,Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
5,Chilpancingo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
6,Calle Sinaloa,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
7,Calle Tapachula,Centro Urbano Benito Juárez,06700,Cuauhtémoc,Ciudad de México,NA,México
8,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
9,Avenida Cuauhtémoc,Doctores,06720,Cuauhtémoc,Ciudad de México,NA,México
10,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
11,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
12,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
13,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
14,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
15,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
16,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
17,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,Cuauhtémoc,Ciudad de México,NA,México
18,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
19,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
20,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
21,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
22,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
23,Calle Monclova,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
24,Viaducto Presidente Miguel Alemán,Piedad Narvarte,03103,Benito Juárez,Ciudad de México,NA,México
25,Avenida Cuauhtémoc,Centro Urbano Benito Juárez,NA,Cuauhtémoc,Ciudad de México,NA,México
26,Avenida Querétaro,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
27,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,Cuauhtémoc,Ciudad de México,NA,México
28,Calle Aguascalientes,Centro Urbano Benito Juárez,06760,Cuauhtémoc,Ciudad de México,NA,México
29,Calle Chilpancingo,Hipódromo,06100,Cuauhtémoc,Ciudad de México,NA,México
30,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
31,Calle Chihuahua,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
32,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
33,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
34,Calle Tabasco,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
35,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
36,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
37,Calle Quintana Roo,Roma Sur,06760,Cuauhtémoc,Ciudad de México,NA,México
38,Calle Colima,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
39,Calle Zacatecas,Roma Norte,06700,Cuauhtémoc,Ciudad de México,NA,México
